#fte: [20-02-2018] http://switchoffandletsgo.blogspot.com.es/2013/04/relacionar-el-codigo-ine-con-su-codigo.html
#CodigoPostal	Municipio
06226	Hinojosa del Valle
06228	Hornachos
06380	Jerez de los Caballeros
06389	Jerez de los Caballeros
06391	Lapa, La
06187	Lobón
06498	Lobón
06227	Llera
06900	Llerena
06468	Magacela
06939	Maguilla
06928	Malcocinado
06440	Malpartida de la Serena
06478	Manchita
06411	Medellín
06320	Medina de las Torres
06413	Mengabril
06800	Mérida
06891	Mirandilla
06260	Monesterio
06291	Montemolín
06907	Montemolín
06908	Montemolín
06427	Monterrubio de la Serena
06499	Montijo
06480	Montijo
06489	Montijo
06176	Morera, La
06486	Nava de Santiago, La
06730	Navalvillar de Pela
06731	Navalvillar de Pela
06760	Navalvillar de Pela
06173	Nogales
06120	Oliva de la Frontera
06475	Oliva de Mérida
06106	Olivenza
06109	Olivenza
06100	Olivenza
06108	Olivenza
06107	Olivenza
06750	Orellana de la Sierra
06740	Orellana la Vieja
06476	Palomas
06176	Parra, La
06610	Peñalsordo
06919	Peraleda del Zaucejo
06630	Puebla de Alcocer
06490	Puebla de la Calzada
06477	Puebla de la Reina
06906	Puebla del Maestre
06229	Puebla del Prior
06191	Puebla de Obando
06310	Puebla de Sancho Pérez
06392	Puebla de Sancho Pérez
06450	Quintana de la Serena
06970	Reina
06715	Rena
06442	Retamal de Llerena
06225	Ribera del Fresno
06657	Risco
06190	Roca de la Sierra, La
06174	Salvaleón
06175	Salvatierra de los Barros
06893	San Pedro de Mérida
06410	Santa Amalia
06150	Santa Marta
06230	Santos de Maimona, Los
06500	San Vicente de Alcántara
06270	Segura de León
06650	Siruela
06196	Solana de los Barros
06198	Solana de los Barros
06209	Solana de los Barros
06640	Talarrubias
06140	Talavera la Real
06133	Táliga
06658	Tamurejo
06172	Torre de Miguel Sesmero
06880	Torremayor
06210	Torremejía
06909	Trasierra
06892	Trujillanos
06290	Usagre
06689	Valdecaballeros
06474	Valdetorres
06444	Valencia de las Torres
06134	Valencia del Mombuey
06330	Valencia del Ventoso
06378	Valverde de Burguillos
06130	Valverde de Leganés
06927	Valverde de Llerena
06890	Valverde de Mérida
06458	Valle de la Serena
06177	Valle de Matamoros
06178	Valle de Santa Ana
06220	Villafranca de los Barros
06950	Villagarcía de la Torre
06473	Villagonzalo
06208	Villalba de los Barros
06710	Villanueva de la Serena
06720	Villanueva de la Serena
06712	Villanueva de la Serena
06700	Villanueva de la Serena
06718	Villanueva de la Serena
06110	Villanueva del Fresno
06192	Villar del Rey
